id;sat_clave;sat_nombre;sat_descripcion;sat_fechainicio;sat_fechafin;sat_simbolo
2,078;XAH;Pallet, 100cms X 110cms;Pallet tamaño estándar con dimensiones de 100 centímetros por 110 centímetros (cms).;8/13/2017;1/1/2017;
2,079;XAI;Contenedor tipo concha;;8/13/2017;1/1/2017;
2,080;XAJ;Cono;Contenedor utilizado en el transporte de material lineal como el hilo.;8/13/2017;1/1/2017;
2,081;XAL;Esféra;Recipiente de contención esférico para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,082;XAM;Ampolleta no protegida;;8/13/2017;1/1/2017;
2,083;XAP;Ampolleta protegida;;8/13/2017;1/1/2017;
2,084;XAT;Atomizador;;8/13/2017;1/1/2017;
2,085;XAV;Cápsula;;8/13/2017;1/1/2017;
2,086;XB4;Cinturón;Banda utiliza para retener varios artículos juntos.;8/13/2017;1/1/2017;
2,087;XBA;Barril;;8/13/2017;1/1/2017;
2,088;XBB;Bobina;;8/13/2017;1/1/2017;
2,089;XBC;Cajón para botellas / Estante para botellas;;8/13/2017;1/1/2017;
2,090;XBD;Tablero;;8/13/2017;1/1/2017;
2,091;XBE;Flejado;;8/13/2017;1/1/2017;
2,092;XBF;Globo no protegido;;8/13/2017;1/1/2017;
2,093;XBG;Bolso;Recipiente de material flexible con tapa abierta o cerrada.;8/13/2017;1/1/2017;
2,094;XBH;Manojo;;8/13/2017;1/1/2017;
2,095;XBI;Compartimiento;;8/13/2017;1/1/2017;
2,096;XBJ;Cubeta;;8/13/2017;1/1/2017;
2,097;XBK;Cesta;;8/13/2017;1/1/2017;
2,098;XBL;Paca comprimida;;8/13/2017;1/1/2017;
2,099;XBM;Cuenco;;8/13/2017;1/1/2017;
2,100;XBN;Paca no comprimida;;8/13/2017;1/1/2017;
2,101;XBO;Botella no-protegida y cilíndrica;Recipiente de forma cilíndrica de cuello estrecho sin material de empaque protector externo.;8/13/2017;1/1/2017;
2,102;XBP;Globo protegido;;8/13/2017;1/1/2017;
2,103;XBQ;Botella cilíndrica protegida;Recipiente de forma cilíndrica de cuello estrecho con material de empaque protector externo.;8/13/2017;1/1/2017;
2,104;XBR;Barra;;8/13/2017;1/1/2017;
2,105;XBS;Botella, no-protegida en forma de bulbo;Recipiente en forma de bulbo de cuello estrecho sin material de empaque protector externo.;8/13/2017;1/1/2017;
2,106;XBT;Rollo de tela;;8/13/2017;1/1/2017;
2,107;XBU;Butt;Barril de 1/2 tonel;8/13/2017;1/1/2017;
2,108;XBV;Botella de bulbo protegido;Recipiente en forma de bulbo de cuello estrecho con material de empaque protector externo.;8/13/2017;1/1/2017;
2,109;XBW;Caja para líquidos;;8/13/2017;1/1/2017;
2,110;XBX;Caja;;8/13/2017;1/1/2017;
2,111;XBY;Tablero, con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,112;XBZ;Barras, con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,113;XCA;Lata rectangular;;8/13/2017;1/1/2017;
2,114;XCB;Cajón para cerveza;;8/13/2017;1/1/2017;
2,115;XCC;Mantequera;;8/13/2017;1/1/2017;
2,116;XCD;Lata con mango y boquilla;;8/13/2017;1/1/2017;
2,117;XCE;Cesto tejido;;8/13/2017;1/1/2017;
2,118;XCF;Cofre;;8/13/2017;1/1/2017;
2,119;XCG;Contenedor tipo Jaula;;8/13/2017;1/1/2017;
2,120;XCH;Cajonera;;8/13/2017;1/1/2017;
2,121;XCI;Frasco;;8/13/2017;1/1/2017;
2,122;XCJ;Ataúd;;8/13/2017;1/1/2017;
2,123;XCK;Barrica;;8/13/2017;1/1/2017;
2,124;XCL;Espiral;;8/13/2017;1/1/2017;
2,125;XCM;Paquete de tarjetas;Paquete plano normalmente hecho de cartón desde / hacia el cual el producto es a menudo colgado o unido.;8/13/2017;1/1/2017;
2,126;XCN;Contenedor, no especificado como equipo de transporte;;8/13/2017;1/1/2017;
2,127;XCO;Garrafón no protegido;;8/13/2017;1/1/2017;
2,128;XCP;Garrafón protegido;;8/13/2017;1/1/2017;
2,129;XCQ;Cartucho;Paquete que contiene una carga tal como un explosivo propulsor para armas de fuego o tóner de tinta para una impresora.;8/13/2017;1/1/2017;
2,130;XCR;Cajón;;8/13/2017;1/1/2017;
2,131;XCS;Estuche;;8/13/2017;1/1/2017;
2,132;XCT;Cartón;;8/13/2017;1/1/2017;
2,133;XCU;Vaso;;8/13/2017;1/1/2017;
2,134;XCV;Cubierta;;8/13/2017;1/1/2017;
2,135;XCW;Jaula estilo rodillo;;8/13/2017;1/1/2017;
2,136;XCX;Lata cilíndrica;;8/13/2017;1/1/2017;
2,137;XCY;Cilindro;;8/13/2017;1/1/2017;
2,138;XCZ;Lona;;8/13/2017;1/1/2017;
2,139;XDA;Cajón multicapa de plástico;;8/13/2017;1/1/2017;
2,140;XDB;Cajón de varias capas de madera;;8/13/2017;1/1/2017;
2,141;XDC;Cajón multicapa de cartón;;8/13/2017;1/1/2017;
2,142;XDG;Jaula, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP));;8/13/2017;1/1/2017;
2,143;XDH;Caja, Según la clasificación de la compañía (CHEP), Eurobox;Caja montada sobre una base de pallet Según la clasificación de la compañía (CHEP).;8/13/2017;1/1/2017;
2,144;XDI;Tambor de hierro;;8/13/2017;1/1/2017;
2,145;XDJ;damajuana o garrafa, no protegido;;8/13/2017;1/1/2017;
2,146;XDK;Cajón a granel, cartón;;8/13/2017;1/1/2017;
2,147;XDL;Cajas de plástico;;8/13/2017;1/1/2017;
2,148;XDM;Cajones a granel de madera;;8/13/2017;1/1/2017;
2,149;XDN;Dispensador;;8/13/2017;1/1/2017;
2,150;XDP;damajuana o garrafa, protegido;;8/13/2017;1/1/2017;
2,151;XDR;Tambor;;8/13/2017;1/1/2017;
2,152;XDS;Bandeja de una capa sin cubierta y de plástico;;8/13/2017;1/1/2017;
2,153;XDT;Bandeja de una capa sin cubierta y de madera;;8/13/2017;1/1/2017;
2,154;XDU;Bandeja de una capa sin cubierta y  poliestireno;;8/13/2017;1/1/2017;
2,155;XDV;Bandeja de una capa sin cubierta y de cartón;;8/13/2017;1/1/2017;
2,156;XDW;Bandeja de dos capas sin tapa y con bandeja de plástico;;8/13/2017;1/1/2017;
2,157;XDX;Bandeja de dos capas sin cubierta y de madera;;8/13/2017;1/1/2017;
2,158;XDY;Bandeja de dos capas sin cubierta y de cartón;;8/13/2017;1/1/2017;
2,159;XEC;Bolsa de plástico;;8/13/2017;1/1/2017;
2,160;XED;Estuche, con pallet de base;;8/13/2017;1/1/2017;
2,161;XEE;Estuche, con pallet base de madera;;8/13/2017;1/1/2017;
2,162;XEF;Estuche, con pallet base de cartón;;8/13/2017;1/1/2017;
2,163;XEG;Estuche, con pallet base de plástico;;8/13/2017;1/1/2017;
2,164;XEH;Estuche, con pallet base de metal;;8/13/2017;1/1/2017;
2,165;XEI;Estuche isotérmico;;8/13/2017;1/1/2017;
2,166;XEN;Sobre;;8/13/2017;1/1/2017;
2,167;XFB;Bolsa flexible;Bolsa de contención flexible hecha de plástico, usado típicamente para el transporte de mercancías no peligrosas a granel, que usan contenedores de transporte de tamaño estándar.;8/13/2017;1/1/2017;
2,168;XFC;Cajón para fruta;;8/13/2017;1/1/2017;
2,169;XFD;Cajón enmarcado;;8/13/2017;1/1/2017;
2,170;XFE;Tanque flexible;Contenedor flexible de plástico, usado típicamente para el transporte de cargas no peligrosas a granel usando contenedores de transporte de tamaño estándar.;8/13/2017;1/1/2017;
2,171;XFI;Firkin;Barril de 41 litros;8/13/2017;1/1/2017;
2,172;XFL;Matraz;;8/13/2017;1/1/2017;
2,173;XFO;Cajón para zapatos;;8/13/2017;1/1/2017;
2,174;XFP;Caja auxiliar para película fotográfica;;8/13/2017;1/1/2017;
2,175;XFR;Marco;;8/13/2017;1/1/2017;
2,176;XFT;Contenedor para alimentos;;8/13/2017;1/1/2017;
2,177;XFW;Carro de cama plana;Módulo con ruedas en el que las bandejas u otros artículos de forma regular se empacan para fines de transporte.;8/13/2017;1/1/2017;
2,178;XFX;Bolsa flexible tipo contenedor;;8/13/2017;1/1/2017;
2,179;XGB;Botella para gas;Cilindro metálico de cuello estrecho para la retención de gas licuado o comprimido.;8/13/2017;1/1/2017;
2,180;XGI;Viga;;8/13/2017;1/1/2017;
2,181;XGL;Contenedor tipo galón;Contenedor con una capacidad de un galón.;8/13/2017;1/1/2017;
2,182;XGR;Recipiente de vidrio;Recipiente de contención de vidrio para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,183;XGU;Bandeja contenedor para apilar horizontalmente objetos planos;Bandeja para contiene objetos planos apilados uno encima del otro.;8/13/2017;1/1/2017;
2,184;XGY;Costal de Yute;Hecho de yute, usado para transportar mercancías gruesas, tales como granos, patatas, y otros productos agrícolas.;8/13/2017;1/1/2017;
2,185;XGZ;Vigas con correas o agrupadas;;8/13/2017;1/1/2017;
2,186;XHA;Cesta con mango y de plástico;;8/13/2017;1/1/2017;
2,187;XHB;Cesta con mango y de madera;;8/13/2017;1/1/2017;
2,188;XHC;Cesta  con asa y de  cartón;;8/13/2017;1/1/2017;
2,189;XHG;Hogshead;Barril de 1/4 de tonel;8/13/2017;1/1/2017;
2,190;XHN;Gancho;Artefacto, cuya forma con un gancho en la parte superior, tiene el propósito de colgar artículos de un carril.;8/13/2017;1/1/2017;
2,191;XHR;Cesto;;8/13/2017;1/1/2017;
2,192;XIA;Paquete con pantalla y de madera;;8/13/2017;1/1/2017;
2,193;XIB;Paquete  con pantalla y de cartón;;8/13/2017;1/1/2017;
2,194;XIC;Paquete con pantalla y de plástico;;8/13/2017;1/1/2017;
2,195;XID;Paquete con pantalla y de metal;;8/13/2017;1/1/2017;
2,196;XIE;Paquete de mostrador.;;8/13/2017;1/1/2017;
2,197;XIF;Envase para alimentos;Envase flexible tubular o de piel, posiblemente transparente, a menudo utilizado para contener alimentos (por ejemplo salami).;8/13/2017;1/1/2017;
2,198;XIG;Paquete envuelto en papel;;8/13/2017;1/1/2017;
2,199;XIH;Tambor de plástico;;8/13/2017;1/1/2017;
2,200;XIK;Paquete de cartón con los agujeros para botellas;Material de empaque realizado en cartón que facilita la separación de botellas individuales de vidrio o plástico.;8/13/2017;1/1/2017;
2,201;XIL;Bandeja rígida con tapa y apilable (CEN TS 14482: 2002);Bandeja rígida apilable empotrada compatible con CEN TS 14482: 2002.;8/13/2017;1/1/2017;
2,202;XIN;Lingote;;8/13/2017;1/1/2017;
2,203;XIZ;Lingotes  con correas/ agrupados;;8/13/2017;1/1/2017;
2,204;XJB;Bolsa jumbo;Bolsa de contención flexible, ampliamente utilizada para almacenamiento, transporte y manipulación de materiales en polvo, escamas o granulares. Típicamente construido a partir de tejido de polipropileno (PP) tejido en forma de bolsas cúbicas.;8/13/2017;1/1/2017;
2,205;XJC;Bidón rectangular;;8/13/2017;1/1/2017;
2,206;XJG;Jarra;;8/13/2017;1/1/2017;
2,207;XJR;Tarro;;8/13/2017;1/1/2017;
2,208;XJT;Bolsa de yute;;8/13/2017;1/1/2017;
2,209;XJY;Bidón, cilíndrico;;8/13/2017;1/1/2017;
2,210;XKG;Barrilete;;8/13/2017;1/1/2017;
2,211;XKI;Kit (Conjunto de piezas);Conjunto de artículos o implementos utilizados para un propósito específico.;8/13/2017;1/1/2017;
2,212;XLE;Valijas;Colección de bolsas, cajas y / o contenedores que contienen objetos personales para un viaje.;8/13/2017;1/1/2017;
2,213;XLG;Bitacora;;8/13/2017;1/1/2017;
2,214;XLT;Lote;;8/13/2017;1/1/2017;
2,215;XLU;Caja de arrastre;Caja de madera para el transporte y almacenamiento de frutas y verduras.;8/13/2017;1/1/2017;
2,216;XLV;Contenedor pequeño;Contenedor de madera o metal, usado para empacar artículos de uso doméstico y personales.;8/13/2017;1/1/2017;
2,217;XLZ;Registros  con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,218;XMA;Cajón metálico;Caja de contención hecha de metal para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,219;XMB;Múltiplo de bolsas;;8/13/2017;1/1/2017;
2,220;XMC;Cajón para leche;;8/13/2017;1/1/2017;
2,221;XME;Contenedor de metal;Tipo de caja de contención hecha de metal para retener sustancias o artículos, no especificado de otro modo como equipo de transporte.;8/13/2017;1/1/2017;
2,222;XMR;Recipiente de metal;Recipiente de contención de metal para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,223;XMS;Saco milti-pared;;8/13/2017;1/1/2017;
2,224;XMT;Tapete;;8/13/2017;1/1/2017;
2,225;XMW;Contenedor envuelto en plástico;Recipiente de contención envuelto en plástico para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,226;XMX;Caja pequeña de cerillos;;8/13/2017;1/1/2017;
2,227;XNA;No disponible;;8/13/2017;1/1/2017;
2,228;XNE;Sin empaque o no empaquetado;;8/13/2017;1/1/2017;
2,229;XNF;Sin empaque o no empaquetado, unidad simple;;8/13/2017;1/1/2017;
2,230;XNG;Sin empaque o no empaquetado, unidades múltiples;;8/13/2017;1/1/2017;
2,231;XNS;Caja nido;;8/13/2017;1/1/2017;
2,232;XNT;Red;;8/13/2017;1/1/2017;
2,233;XNU;Red de plástico con tubo;;8/13/2017;1/1/2017;
2,234;XNV;Red textil con tubo;;8/13/2017;1/1/2017;
2,235;XOA;Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 40 cm x 60 cm;Pallet de dimensiones 40 centímetros x 60 centímetros.;8/13/2017;1/1/2017;
2,236;XOB;Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 80 cm x 120 cm;Pallet de dimensiones 80 centímetros x 120 centímetros.;8/13/2017;1/1/2017;
2,237;XOC;Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 100 cm x 120 cm;Pallet de dimensiones 100 centímetros x 120 centímetros.;8/13/2017;1/1/2017;
2,238;XOD;Pallet, AS 4068-1993;Pallet con  estándar australiano de dimensiones 115.5 centímetros x 116.5 centímetros.;8/13/2017;1/1/2017;
2,239;XOE;Pallet, ISO T11;Pallet con estándar ISO de dimensiones 110 centímetros x 110 centímetros, prevalente en la región Asia-Pacífico.;8/13/2017;1/1/2017;
2,240;XOF;Plataforma, peso o dimensión no especificada;Plataforma de carga equivalente del Pallet de dimensiones desconocidas o peso desconocido.;8/13/2017;1/1/2017;
2,241;XOK;Bloque;Una pieza sólida de una sustancia dura, tal como granito, que tiene uno o más lados planos.;8/13/2017;1/1/2017;
2,242;XOT;Octabin;Envase estándar de cartón de grandes dimensiones para almacenar por ejemplo verduras, gránulos de plástico u otros productos secos.;8/13/2017;1/1/2017;
2,243;XP2;Charola;Recipiente ancho y abierto, usualmente de metal.;8/13/2017;1/1/2017;
2,244;XPA;Cajetilla;Paquete pequeño.;8/13/2017;1/1/2017;
2,245;XPB;Pallet, Caja combinada y abierta con caja y pallet.;;8/13/2017;1/1/2017;
2,246;XPC;Paquete postal;;8/13/2017;1/1/2017;
2,247;XPD;Pallet modular con collares (80cms * 100cms);Pallet tamaño estándar de dimensiones 80 centímetros por 100 centímetros (cms).;8/13/2017;1/1/2017;
2,248;XPE;Pallet modular con collares (80cms * 120cms);Pallet tamaño estándar de dimensiones 80 centímetros por 120 centímetros (cms).;8/13/2017;1/1/2017;
2,249;XPF;Corral;Pequeño recinto abierto para retener animales.;8/13/2017;1/1/2017;
2,250;XPG;Placa;;8/13/2017;1/1/2017;
2,251;XPH;Cantaro;;8/13/2017;1/1/2017;
2,252;XPI;Pleca;;8/13/2017;1/1/2017;
2,253;XPJ;Canastilla;;8/13/2017;1/1/2017;
2,254;XPK;Paquete;Unidad de empaque estándar.;8/13/2017;1/1/2017;
2,255;XPL;Balde;;8/13/2017;1/1/2017;
2,256;XPN;Tablón;;8/13/2017;1/1/2017;
2,257;XPO;Bolsa pequeña;;8/13/2017;1/1/2017;
2,258;XPR;Contenedor de plástico;Recipiente de contención de plástico para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,259;XPT;Maceta;;8/13/2017;1/1/2017;
2,260;XPU;Cacerola;;8/13/2017;1/1/2017;
2,261;XPV;Tubos, con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,262;XPX;Pallet;Plataforma o caja abierta, generalmente de madera, en la que se conservan las mercancías para facilitar el manejo mecánico durante el transporte y almacenamiento.;8/13/2017;1/1/2017;
2,263;XPY;Placas con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,264;XPZ;Tablones con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,265;XQA;Tambor de acero con cabeza no desmontable;;8/13/2017;1/1/2017;
2,266;XQB;Tambor de  acero con cabeza extraíble;;8/13/2017;1/1/2017;
2,267;XQC;Tambor de aluminio con cabeza no extraíble;;8/13/2017;1/1/2017;
2,268;XQD;Tambor de aluminio con cabeza extraíble;;8/13/2017;1/1/2017;
2,269;XQF;Tambor, plástico con cabeza no desmontable;;8/13/2017;1/1/2017;
2,270;XQG;Tambor, plástico, cabeza extraíble;;8/13/2017;1/1/2017;
2,271;XQH;Barril de madera con tapón;;8/13/2017;1/1/2017;
2,272;XQJ;Barril de madera con cabeza desprendible;;8/13/2017;1/1/2017;
2,273;XQK;Bidón de acero con cabeza no desmontable;;8/13/2017;1/1/2017;
2,274;XQL;Bidón de acero con cabeza desmontable;;8/13/2017;1/1/2017;
2,275;XQM;Bidón de plástico con cabeza no desmontable;;8/13/2017;1/1/2017;
2,276;XQN;Bidón de plástico con cabeza extraíble;;8/13/2017;1/1/2017;
2,277;XQP;Caja de madera natural estándar;;8/13/2017;1/1/2017;
2,278;XQQ;Caja de madera natural con muros a prueba de filtraciones;;8/13/2017;1/1/2017;
2,279;XQR;Caja de plástico expandida;;8/13/2017;1/1/2017;
2,280;XQS;Caja de plástico sólida;;8/13/2017;1/1/2017;
2,281;XRD;Rod;;8/13/2017;1/1/2017;
2,282;XRG;Anillo;;8/13/2017;1/1/2017;
2,283;XRJ;Estante, Perchero para ropa;;8/13/2017;1/1/2017;
2,284;XRK;Estante;;8/13/2017;1/1/2017;
2,285;XRL;Carrete;Dispositivo giratorio cilíndrico con un reborde en cada extremo en el que se enrollan los materiales.;8/13/2017;1/1/2017;
2,286;XRO;Rollo;;8/13/2017;1/1/2017;
2,287;XRT;Red Roja;Material de confinamiento hecho de redes de malla roja para retener artículos (por ejemplo árboles).;8/13/2017;1/1/2017;
2,288;XRZ;Varillas  con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,289;XSA;Saco;;8/13/2017;1/1/2017;
2,290;XSB;Losa;;8/13/2017;1/1/2017;
2,291;XSC;Cajón poco profundo;;8/13/2017;1/1/2017;
2,292;XSD;Huso;;8/13/2017;1/1/2017;
2,293;XSE;Baúl;;8/13/2017;1/1/2017;
2,294;XSH;Bolsa pequeña hermética;;8/13/2017;1/1/2017;
2,295;XSI;Patín;Una plataforma o plataforma móvil baja para facilitar el manejo y transporte de mercancías.;8/13/2017;1/1/2017;
2,296;XSK;Carcasa esqueleto;;8/13/2017;1/1/2017;
2,297;XSL;Hoja de deslizamiento;Láminas de plástico duro se utilizan principalmente como la base sobre la cual apilan mercancías para optimizar el espacio dentro de un contenedor. Puede utilizarse como alternativa a un embalaje paletizado.;8/13/2017;1/1/2017;
2,298;XSM;Hoja de metal;;8/13/2017;1/1/2017;
2,299;XSO;Carrete pequeño;Contenedor de empaque utilizado en el transporte de artículos tales como alambre, cable, cinta e hilo.;8/13/2017;1/1/2017;
2,300;XSP;Hoja de empaque de plástico;;8/13/2017;1/1/2017;
2,301;XSS;Cajón de acero;;8/13/2017;1/1/2017;
2,302;XSU;Maleta;;8/13/2017;1/1/2017;
2,303;XSV;Sobre de acero;;8/13/2017;1/1/2017;
2,304;XSW;Envoltorio;Mercancías retenidas en una película de plástico transparente que ha sido envuelta alrededor y luego encogido fuertemente a las mercancías.;8/13/2017;1/1/2017;
2,305;XSY;Manga;;8/13/2017;1/1/2017;
2,306;XSZ;Hojas  con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,307;XT1;Tableta;Artículo suelto o sin empaque en forma de barra, bloque o pieza.;8/13/2017;1/1/2017;
2,308;XTB;Tina;;8/13/2017;1/1/2017;
2,309;XTC;Caja para té;;8/13/2017;1/1/2017;
2,310;XTD;Tubo plegable;;8/13/2017;1/1/2017;
2,311;XTG;Contenedor de tanque genérico;Recipiente especialmente construido para el transporte de líquidos y gases a granel.;8/13/2017;1/1/2017;
2,312;XTI;Tierce;Barril de 1/6 parte de tonel;8/13/2017;1/1/2017;
2,313;XTK;Tanque rectangular;;8/13/2017;1/1/2017;
2,314;XTL;Tina con tapa;;8/13/2017;1/1/2017;
2,315;XTN;Hojalata;;8/13/2017;1/1/2017;
2,316;XTO;Tonel;Barril con capacidad para 982 litros;8/13/2017;1/1/2017;
2,317;XTR;Maletero;;8/13/2017;1/1/2017;
2,318;XTS;Estructura;;8/13/2017;1/1/2017;
2,319;XTT;Bolsa de mano;Una gran bolsa o cesto.;8/13/2017;1/1/2017;
2,320;XTU;Tubo;;8/13/2017;1/1/2017;
2,321;XTV;Tubo con boquilla;Tubo de plástico, metal o cartón, provisto de una boquilla, que contiene un producto líquido o semilíquido, por ejemplo silicio.;8/13/2017;1/1/2017;
2,322;XTW;Pallet tricapa;Una paleta ligera hecha de cartón ondulado resistente.;8/13/2017;1/1/2017;
2,323;XTY;Tanque cilíndrico;;8/13/2017;1/1/2017;
2,324;XTZ;Tubos  con fleje/ agrupados/ armados;;8/13/2017;1/1/2017;
2,325;XUC;Sin empaque;;8/13/2017;1/1/2017;
2,326;XUN;Unidad;Tipo de paquete compuesto de un solo artículo u objeto, no especificado de otro modo como una unidad de equipo de transporte.;8/13/2017;1/1/2017;
2,327;XVA;Tanque;;8/13/2017;1/1/2017;
2,328;XVG;Tanque de gas (a 1,031 mbar y 15° C);;8/13/2017;1/1/2017;
2,329;XVI;Frasco pequeño;;8/13/2017;1/1/2017;
2,330;XVK;Paquete transportable;Tipo de cajón de madera.;8/13/2017;1/1/2017;
2,331;XVL;Contenedor para líquidos a granel;;8/13/2017;1/1/2017;
2,332;XVN;Vehículo;Medio de transporte autopropulsado.;8/13/2017;1/1/2017;
2,333;XVO;Contenedor para sólido de partículas grandes a granel ("nódulos");;8/13/2017;1/1/2017;
2,334;XVP;Envasado al vacío;;8/13/2017;1/1/2017;
2,335;XVQ;Tanque para Gas licuado (a temperatura / presión anormal);;8/13/2017;1/1/2017;
2,336;XVR;Contenedor para sólidos de partículas granulares a granel (Granos);;8/13/2017;1/1/2017;
2,337;XVS;Contenedor de chatarra a granel;Chatarra suelta o sin empaquetar transportada a granel.;8/13/2017;1/1/2017;
2,338;XVY;Contenedor para sólido de partículas finas a granel ("polvos");;8/13/2017;1/1/2017;
2,339;XWA;Contenedor de granel intermedio;Recipiente reutilizable hecho de metal, plástico, textiles, madera o materiales compuestos utilizados para facilitar el transporte de sólidos y líquidos a granel en volúmenes manejables.;8/13/2017;1/1/2017;
2,340;XWB;Botella de mimbre;;8/13/2017;1/1/2017;
2,341;XWC;Contenedor intermedio para gráneles y de acero;;8/13/2017;1/1/2017;
2,342;XWD;Contenedor intermedio para gráneles y de aluminio;;8/13/2017;1/1/2017;
2,343;XWF;Contenedor intermedio para gráneles y de metal;;8/13/2017;1/1/2017;
2,344;XWG;Contenedor intermedio para gráneles y de acero presurizado menor a 10 kpa;;8/13/2017;1/1/2017;
2,345;XWH;Contenedor intermedio para gráneles y de aluminio, presurizado menor a 10 kpa;;8/13/2017;1/1/2017;
2,346;XWJ;Contenedor intermedio para gráneles y de metal con una presión de 10 kpa;;8/13/2017;1/1/2017;
2,347;XWK;Contenedor intermedio para gráneles y de acero para líquido;;8/13/2017;1/1/2017;
2,348;XWL;Contenedor intermedio para gráneles y de aluminio para líquido;;8/13/2017;1/1/2017;
2,349;XWM;Contenedor intermedio para gráneles y de metal para líquido;;8/13/2017;1/1/2017;
2,350;XWN;Contenedor intermedio para gráneles con tejido plástico sin capa con revestimiento;;8/13/2017;1/1/2017;
2,351;XWP;Contenedor intermedio para gráneles con tejido plástico y recubierto;;8/13/2017;1/1/2017;
2,352;XWQ;Contenedor intermedio para gráneles con tejido plástico con revestimiento;;8/13/2017;1/1/2017;
2,353;XWR;Contenedor intermedio para gráneles con tejido plástico, revestido y con forro;;8/13/2017;1/1/2017;
2,354;XWS;Contenedor intermedio para gráneles con película de plástico;;8/13/2017;1/1/2017;
2,355;XWT;Contenedor intermedio para gráneles textil sin capa / forro;;8/13/2017;1/1/2017;
2,356;XWU;Contenedor intermedio para gráneles de madera natural con forro interior;;8/13/2017;1/1/2017;
2,357;XWV;Contenedor intermedio para gráneles textil recubierto;;8/13/2017;1/1/2017;
