id;clave;nombre;tipodoctoid;direccion;formapagoid;mismocorte;traslado;concepto;reversionabono;montoocuenta;clasedoctocorte;importecambio
38;intercambiomercanciascredito;intercambiomercanciascredito;null;NA;18;NA;NA;NA;NA;M;N;NA
39;intercambiomercanciasdebito;intercambiomercanciasdebito;null;NA;19;NA;NA;NA;NA;M;N;NA
40;deposito;deposito;null;NA;20;NA;NA;NA;NA;M;N;NA
41;depositoter;depositoter;null;NA;21;NA;NA;NA;NA;M;N;NA
42;ingresoefectivo;ingresoefectivo;null;I;1;NA;NA;NA;NA;M;N;NA
43;ingresotarjeta;ingresotarjeta;null;I;2;NA;NA;NA;NA;M;N;NA
44;ingresocheque;ingresocheque;null;I;3;NA;NA;NA;NA;M;N;NA
45;ingresocredito;ingresocredito;null;I;4;NA;NA;NA;NA;M;N;NA
46;ingresovale;ingresovale;null;I;5;NA;NA;NA;NA;M;N;NA
47;ingresomonedero;ingresomonedero;null;I;14;NA;NA;NA;NA;M;N;NA
48;ingresotransferencia;ingresotransferencia;null;I;15;NA;NA;NA;NA;M;N;NA
49;ingresonoidentificado;ingresonoidentificado;null;I;16;NA;NA;NA;NA;M;N;NA
50;ingresodeposito;ingresodeposito;null;I;20;NA;NA;NA;NA;M;N;NA
51;ingresodepositoter;ingresodepositoter;null;I;21;NA;NA;NA;NA;M;N;NA
52;egresoefectivo;egresoefectivo;null;E;1;NA;NA;NA;NA;M;N;NA
53;egresotarjeta;egresotarjeta;null;E;2;NA;NA;NA;NA;M;N;NA
54;egresocheque;egresocheque;null;E;3;NA;NA;NA;NA;M;N;NA
55;egresocredito;egresocredito;null;E;4;NA;NA;NA;NA;M;N;NA
56;egresovale;egresovale;null;E;5;NA;NA;NA;NA;M;N;NA
57;egresomonedero;egresomonedero;null;E;14;NA;NA;NA;NA;M;N;NA
58;egresotransferencia;egresotransferencia;null;E;15;NA;NA;NA;NA;M;N;NA
59;egresonoidentificado;egresonoidentificado;null;E;16;NA;NA;NA;NA;M;N;NA
60;egresodeposito;egresodeposito;null;E;20;NA;NA;NA;NA;M;N;NA
61;egresodepositoter;egresodepositoter;null;E;21;NA;NA;NA;NA;M;N;NA
62;ingresoefectivo_od;ingresoefectivo_od;null;I;1;N;NA;NA;NA;M;N;NA
63;ingresotarjeta_od;ingresotarjeta_od;null;I;2;N;NA;NA;NA;M;N;NA
64;ingresocheque_od;ingresocheque_od;null;I;3;N;NA;NA;NA;M;N;NA
65;ingresocredito_od;ingresocredito_od;null;I;4;N;NA;NA;NA;M;N;NA
66;ingresovale_od;ingresovale_od;null;I;5;N;NA;NA;NA;M;N;NA
67;ingresomonedero_od;ingresomonedero_od;null;I;14;N;NA;NA;NA;M;N;NA
68;ingresotransferencia_od;ingresotransferencia_od;null;I;15;N;NA;NA;NA;M;N;NA
69;ingresonoidentificado_od;ingresonoidentificado_od;null;I;16;N;NA;NA;NA;M;N;NA
70;ingresodeposito_od;ingresodeposito_od;null;I;20;N;NA;NA;NA;M;N;NA
